UNIX_TS,Weekday,HTE
0.5241184,0.5,1.0
0.9765911,0.6666667,1.0
0.021007538,0.0,1.0
0.6812229,1.0,1.0
0.3059864,0.8333334,1.0
0.5672188,0.0,1.0
0.27053642,0.0,1.0
0.065820694,0.8333334,1.0
0.38921928,0.5,1.0
0.5222912,0.33333334,1.0
0.24627304,0.5,1.0
0.78295326,0.5,1.0
0.3972702,0.16666667,1.0
0.78837585,0.0,1.0
0.11491585,0.8333334,0.0
0.14933968,0.5,1.0
0.7530956,0.33333334,1.0
0.76828,1.0,1.0
0.54535484,0.8333334,1.0
0.5889702,0.16666667,1.0
0.6167717,0.16666667,1.0
0.010559082,1.0,1.0
0.27698708,0.8333334,1.0
0.61979675,0.5,1.0
0.5589981,0.16666667,1.0
0.28720665,0.8333334,1.0
0.40686035,0.16666667,1.0
0.77490425,0.6666667,1.0
0.7447052,0.5,1.0
0.31066895,0.16666667,1.0
0.8947296,0.16666667,1.0
0.79437065,0.6666667,1.0
0.97208405,0.16666667,1.0
0.6116333,0.6666667,1.0
0.033851624,0.33333334,1.0
0.26037407,0.0,1.0
0.4078884,0.33333334,1.0
0.32088852,0.33333334,1.0
0.058742523,1.0,1.0
0.51669884,0.8333334,1.0
0.22412491,0.16666667,1.0
0.77381897,0.5,1.0
0.55368996,0.6666667,1.0
0.030771255,0.0,1.0
0.48952293,1.0,1.0
0.36513138,1.0,1.0
0.3540535,0.8333334,1.0
0.70360184,0.16666667,1.0
0.6763706,0.33333334,1.0
0.36769867,0.16666667,1.0
0.82930756,0.33333334,1.0
0.13192749,0.6666667,1.0
0.4127407,1.0,1.0
0.32357216,0.6666667,1.0
0.7936287,0.6666667,1.0
0.648798,0.5,1.0
0.19729233,0.5,1.0
0.29730988,1.0,1.0
0.32585526,0.8333334,1.0
0.9126549,0.0,1.0
0.63013077,0.5,1.0
0.3671856,0.16666667,1.0
0.31363678,0.5,1.0
0.23765564,0.6666667,1.0
0.10081673,0.33333334,1.0
0.8267975,0.0,1.0
0.6546211,0.0,1.0
0.8013916,0.33333334,1.0
0.8005352,0.33333334,1.0
0.026601791,0.6666667,1.0
0.6494255,0.6666667,1.0
0.06838989,1.0,1.0
0.24033546,1.0,1.0
0.41827774,0.5,1.0
0.41770744,0.33333334,1.0
0.9777336,0.8333334,1.0
0.82868004,0.16666667,1.0
0.5916538,0.5,1.0
0.48501396,0.5,1.0
0.1445446,1.0,1.0
0.7876911,1.0,1.0
0.30381775,0.5,1.0
0.22857857,0.6666667,1.0
0.57452583,0.8333334,1.0
0.7639427,0.5,1.0
0.39002037,0.5,1.0
0.11531639,1.0,0.0
0.54541206,0.8333334,1.0
0.99132156,0.16666667,1.0
0.96780014,0.8333334,1.0
0.54792404,1.0,1.0
0.90854645,0.6666667,1.0
0.23474312,0.33333334,1.0
0.7533245,0.33333334,1.0
0.11108971,0.5,1.0
0.82696724,0.0,1.0
0.41884804,0.5,1.0
0.14677238,0.16666667,1.0
0.82759476,0.16666667,1.0
0.7473316,0.8333334,1.0
0.63092995,0.6666667,1.0
0.9631195,0.16666667,1.0
0.38682365,0.16666667,1.0
0.38185692,0.6666667,1.0
0.9344616,0.33333334,1.0
0.25438118,0.33333334,1.0
0.881258,0.8333334,1.0
0.1874752,0.33333334,1.0
0.8914757,0.8333334,1.0
0.37369156,0.8333334,1.0
0.36684227,0.0,1.0
0.5595112,0.16666667,1.0
0.34560585,1.0,1.0
0.5370197,0.8333334,1.0
0.3045044,0.6666667,1.0
0.9102001,0.8333334,1.0
0.14003563,0.5,1.0
0.07067299,0.16666667,1.0
0.9782486,1.0,1.0
0.11765671,0.0,1.0
0.41405487,0.0,1.0
0.18884468,0.5,1.0
0.78717804,1.0,1.0
0.69423866,0.16666667,1.0
0.007648468,0.6666667,1.0
0.7226105,0.16666667,1.0
0.590683,0.5,1.0
0.023347855,0.33333334,1.0
0.41222763,0.8333334,1.0
0.9513588,0.0,1.0
0.698122,0.6666667,1.0
0.117544174,0.0,1.0
0.6185417,0.33333334,1.0
0.35017395,0.33333334,1.0
0.9309807,1.0,1.0
0.15784645,0.33333334,1.0
0.96785736,0.8333334,1.0
0.6509094,0.8333334,1.0
0.9019222,1.0,1.0
0.1265049,0.0,1.0
0.17388725,1.0,1.0
0.714962,0.33333334,1.0
0.084661484,0.6666667,1.0
0.68841743,0.6666667,1.0
0.54769516,1.0,1.0
0.16806412,0.33333334,1.0
0.53799057,1.0,1.0
0.5224056,0.33333334,1.0
0.45407104,0.16666667,1.0
0.6202526,0.5,1.0
0.7717056,0.33333334,1.0
0.95575523,0.5,1.0
0.14551544,0.0,1.0
0.5976467,0.16666667,1.0
0.9811592,0.16666667,1.0
0.7252369,0.5,1.0
0.5993614,0.33333334,1.0
0.19809341,0.5,1.0
0.6577015,0.5,1.0
0.5801792,0.33333334,1.0
0.43340683,0.0,1.0
0.23205948,0.0,1.0
0.10612488,1.0,1.0
0.88799477,0.5,1.0
0.86053276,0.6666667,1.0
0.24798584,0.8333334,1.0
0.62578964,0.0,1.0
0.8934746,0.0,1.0
0.19158554,0.8333334,1.0
